0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/30c23426-eb48-4fb9-922a-ab95793e293b/bitstreams?page=0&size=5 HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/core/bundles/84343d50-611b-4eb8-9646-16f5076f2300/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/items/29fb7b83-a129-4206-a480-461b228c2826/bundles?size=9999 HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/84343d50-611b-4eb8-9646-16f5076f2300/bitstreams?page=0&size=5 HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/84343d50-611b-4eb8-9646-16f5076f2300/bitstreams?page=0&size=5 HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/84343d50-611b-4eb8-9646-16f5076f2300/bitstreams?page=0&size=5 HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/core/items/2b6f60db-0969-4745-9c2a-fe67ac236960/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/items/2b6f60db-0969-4745-9c2a-fe67ac236960/bundles?size=9999 HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/84343d50-611b-4eb8-9646-16f5076f2300/bitstreams?page=0&size=5 HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/core/bundles/e08d4b61-6f0e-4ea2-bd64-1b5fb7ca500a/bitstreams?page=0&size=5 HTTP/1.1" 200 5
